Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent
21941-34308,QB,Blake,Blake Bortles,Bortles,14.58888923,9,7500,JAC@CLE,JAC,CLE
21941-42142,RB,Jordan,Jordan Howard,Howard,12.04444461,9,7400,DET@CHI,CHI,DET
21941-11435,WR,Dez,Dez Bryant,Bryant,10.31111145,9,7400,PHI@DAL,DAL,PHI
21941-7968,QB,Philip,Philip Rivers,Rivers,15.72444492,9,7400,BUF@LAC,LAC,BUF
21941-41872,TE,Evan,Evan Engram,Engram,10.47777812,9,7400,KC@NYG,NYG,KC
21941-31001,WR,Amari,Amari Cooper,Cooper,9.288888719,9,7300,NE@OAK,OAK,NE
21941-22994,QB,Case,Case Keenum,Keenum,15.23250008,8,7300,LAR@MIN,MIN,LAR
21941-29253,WR,Keenan,Keenan Allen,Allen,9.799999661,9,7100,BUF@LAC,LAC,BUF
21941-14704,WR,Chris,Chris Hogan,Hogan,11.5,8,7000,NE@OAK,NE,OAK
21941-21980,WR,Alshon,Alshon Jeffery,Jeffery,11.22222222,9,7000,PHI@DAL,PHI,DAL
21941-6748,QB,Carson,Carson Palmer,Palmer,15.61714281,7,7000,ARI@HOU,ARI,HOU
21941-6883,WR,Larry,Larry Fitzgerald,Fitzgerald,12.63333299,9,6900,ARI@HOU,ARI,HOU
21941-46882,RB,Jay,Jay Ajayi,Ajayi,8.987500191,8,6900,PHI@DAL,PHI,DAL
21941-29685,WR,Robert,Robert Woods,Woods,11.65555573,9,6900,LAR@MIN,LAR,MIN
21941-24891,RB,Chris,Chris Thompson,Thompson,13.5666665,9,6800,WAS@NO,WAS,NO
21941-31394,WR,Jarvis,Jarvis Landry,Landry,11.78750038,8,6800,TB@MIA,MIA,TB
21941-14225,QB,Andy,Andy Dalton,Dalton,13.49555545,9,6800,CIN@DEN,CIN,DEN
21941-11432,WR,Demaryius,Demaryius Thomas,Thomas,10.10000017,9,6700,CIN@DEN,DEN,CIN
21941-22103,WR,Marvin,Marvin Jones Jr.,Jones Jr.,11.18888855,9,6700,DET@CHI,DET,CHI
21941-45889,WR,Davante,Davante Adams,Adams,11.82222239,9,6700,BAL@GB,GB,BAL
21941-34331,RB,Latavius,Latavius Murray,Murray,5.611111111,9,6600,LAR@MIN,MIN,LAR
21941-6703,RB,Adrian,Adrian Peterson,Peterson,7.137499809,8,6600,ARI@HOU,ARI,HOU
21941-6714,QB,Joe,Joe Flacco,Flacco,9.704444038,9,6600,BAL@GB,BAL,GB
21941-6898,QB,Jay,Jay Cutler,Cutler,12.74857112,7,6600,TB@MIA,MIA,TB
21941-33259,QB,Teddy,Teddy Bridgewater,Bridgewater,0,0,6500,LAR@MIN,MIN,LAR
21941-22037,RB,Lamar,Lamar Miller,Miller,12.61111111,9,6500,ARI@HOU,HOU,ARI
21941-6826,QB,Eli,Eli Manning,Manning,14.8688897,9,6500,KC@NYG,NYG,KC
21941-27477,WR,Sterling,Sterling Shepard,Shepard,10.54285758,7,6500,KC@NYG,NYG,KC
21941-29593,WR,Marqise,Marqise Lee,Lee,9.333333333,9,6500,JAC@CLE,JAC,CLE
21941-54608,RB,Jerick,Jerick McKinnon,McKinnon,10.07777744,9,6400,LAR@MIN,MIN,LAR
21941-7659,QB,Ryan,Ryan Fitzpatrick,Fitzpatrick,10.92500019,4,6400,TB@MIA,TB,MIA
21941-40442,RB,Aaron,Aaron Jones,Jones,10.09999975,6,6400,BAL@GB,GB,BAL
21941-6739,WR,DeSean,DeSean Jackson,Jackson,8.855555216,9,6400,TB@MIA,TB,MIA
21941-38628,QB,Mitchell,Mitchell Trubisky,Trubisky,10.27200012,5,6400,DET@CHI,CHI,DET
21941-6893,WR,Jordy,Jordy Nelson,Nelson,11.03750038,8,6400,BAL@GB,GB,BAL
21941-29915,QB,Brett,Brett Hundley,Hundley,10.50800018,5,6300,BAL@GB,GB,BAL
21941-11505,WR,Emmanuel,Emmanuel Sanders,Sanders,10.18571472,7,6300,CIN@DEN,DEN,CIN
21941-7744,QB,Drew,Drew Stanton,Stanton,10.76666641,3,6300,ARI@HOU,ARI,HOU
21941-57537,QB,DeShone,DeShone Kizer,Kizer,12.39249992,8,6200,JAC@CLE,CLE,JAC
21941-21994,QB,Brock,Brock Osweiler,Osweiler,7.560000102,3,6200,CIN@DEN,DEN,CIN
21941-33260,WR,DeVante,DeVante Parker,Parker,9.840000153,5,6200,TB@MIA,MIA,TB
21941-27229,RB,Ameer,Ameer Abdullah,Abdullah,8.833333333,9,6200,DET@CHI,DET,CHI
21941-24929,WR,Kelvin,Kelvin Benjamin,Benjamin,9.022221883,9,6100,BUF@LAC,BUF,LAC
